name_en,name_jp_1,name_jp_2,project_code
common_backoffice,総務・経理関連,バック,913682
common_board,ボード・経営系,役員,931578
common_meeting,共通会議（プロジェクト専用ではない会議）,,1169173
common_produce,案件獲得作業,,1169179
common_recruit,採用関連,,1133199
common_research,共通調査・個人勉強,,1169197
common_sales,共通営業,,1225690
common_teaching,共通教育（教える側）,,1172354
common_training,共通トレーニング,,934468
pj_1post,ワンポスト,,809379
pj_AAF,AAフレーム,,873870
pj_alcare,アルケア,,899719
pj_alcare_mente,アルケア保守,,1132753
pj_ANA_furusato,ANAふるさと納税,,812723
pj_APG-Reserve,,,831927
pj_apple_addmail,アップル追客メール,,1225813
pj_apple_consulting,アップル,,821412
pj_apple_enquete,アップルアンケート,アップル,909351
pj_apple_mente,アップル保守,,812661
pj_apple_rakunicos,アップルラクニコス受付,アップル,1137972
pj_apple_truck-allocating,アップル長距離トラック配車,,1214233
pj_apricot,アプリコット,,812642
pj_asahi,旭広告,あさひ,900854
pj_asahikasei-pharma,旭化成ファーマ,,1189832
pj_asakusa-maas,浅草,,1186052
pj_asakusa-maas-resv,浅草,,1186052
pj_ashura,アシュラ,,904304
pj_astrolab,アストロラボ,,1275086
pj_BeadsFactory_mente,ビーズファクトリー保守,,865604
pj_caba2,キャバキャバ,,1152710
pj_communication,社内面談・雑談等,,1137340
pj_concreteWeb,コンクリートWebサイト,,931579
pj_cotosaga,ことさが,kotosaga,832261
pj_curation7°C,キュレーション,グロースエンジン,904326
pj_d365_mente,d365保守,degi,812687
pj_DATSUMO,ダツモ,LLL,873856
pj_dazzy_mente,dazzy,,810986
pj_digimono_mente,デジモノステーション保守,digi,812768
pj_DiscoveryChannel_mente,ディスカバリーチャンネル保守,,809366
pj_dorafan,ドラファン,drama,826201
pj_EagleEye_mente,新EagleEye保守,イーグル,809369
pj_ECCUBE_plugin,ECCUBEプラグイン,,812728
pj_exeedsjapan,エクシーズジャパン,,870573
pj_FTCmirai,,,1208687
pj_fudosanCF,不動産クラファン,,1133187
pj_fukusuke,福助,growsengine,1162450
pj_GESA,,,873857
pj_growthengineHP,グロースエンジンHP,ohenz,809384
pj_growthengine_curation,グロースエンジンキュレーション,キュレーション,823814
pj_harada,原田管理商会,ティーアンジュ,809368
pj_haveALookShop,ハブアルックショップ,,904752
pj_hojokin,補助金助成金,,1162458
pj_HokuoTravel,北欧トラベル,nettravel,813316
pj_HokuoZakka,北欧雑貨,,809377
pj_HZ投与量計算tool,hz,,809362
pj_InternetMuseum_mente,IM保守,,1132755
pj_InternetMusium,IM初期開発,im,809382
pj_JFICWeb_mente,jfic保守,,830513
pj_juse_main,日科技連本体サイト,,1163700
pj_juse_sibu,日科技連支部地区サイト,,1137968
pj_kanryu,韓流,han,813315
pj_kappanInsatsu,活版印刷,,812713
